"category_name","Name","Link","Pieces","Set","year"
"Town","Dragsters","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1992-1",90," Town: Classic Town: Race","1993"
"Town","Air Ambulance Plane","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2064-1",108," Town: City: Hospital","2007"
"Town","ANWB Roadside Assistance Crew","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2140-1",235," Town: Classic Town: Traffic","1996"
"Town","Dragon Fly","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2147-1",164," Town: Classic Town: Airport","1997"
"Town","LEGO Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2148-1",101," Town: Classic Town: Traffic","1997"
"Town","LEGO Truck (Lego Toy Fair 1998 25th Anniversary Edition)","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2148-2",101," Town: Classic Town: Traffic","1998"
"Town","Color Line Container Lorry","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2149-1",181," Town: Classic Town: Cargo","1997"
"Town","Helicopter and Raft","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2230-1",106," Town: City: Harbor","2008"
"Town","Police Chase","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2234-1",132," Town: Town Jr.: Traffic","1998"
"Town","Rescue Helicopter and Jeep","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2531-1",90," Town: Classic Town: Recreation","1998"
"Town","Aircraft and Ground Crew","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2532-1",124," Town: Classic Town: Airport","1998"
"Town","Formula 1 Racing Car","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2535-1",25," Town: Classic Town: Race","1998"
"Town","Divers Jet Ski","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2536-1",16," Town: Divers","1998"
"Town","Extreme Team Raft","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2537-1",15," Town: Extreme Team","1998"
"Town","Formula 1 Pit Stop","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2554-1",141," Town: Classic Town: Race","1998"
"Town","Biker Bob","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2584-1",17," Town: Classic Town: Traffic","1998"
"Town","Aircraft and Ground Crew","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2718-1",125," Town: Classic Town: Airport","1998"
"Town","Aircraft and Boat","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2769-1",88," Town: Classic Town: Recreation","1999"
"Town","Airshow (Red Tiger)","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2774-1",118," Town: Classic Town: Airport","1999"
"Town","Gyrocopter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2849-1",15," Town: Classic Town: Airport","1997"
"Town","Paradisa Barbeque","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2870-1",15," Town: Paradisa","1997"
"Town","Diver and Shark","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2871-1",9," Town: Divers","1997"
"Town","Open-Top Jeep","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2880-1",25," Town: Classic Town: Traffic","1997"
"Town","Parking Gate Attendant","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2881-1",15," Town: Classic Town: Traffic","1997"
"Town","Speedboat","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2882-1",17," Town: Classic Town: Harbor","1997"
"Town","Boat","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2883-1",30," Town: Classic Town: Harbor","1997"
"Town","Microlight","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2884-1",15," Town: Classic Town: Airport","1997"
"Town","Ice Cream Seller","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2885-1",23," Town: Classic Town: Food & Drink","1997"
